business_name,city,state,country,website,google_maps_url,instagram_url,email,phone,review_count,owner_reply_gap,fit_score,status,last_contacted,next_step,notes
Austin Pet Stylist,Austin,TX,US,https://www.austinpetstylist.com/,,https://www.instagram.com/austinpetstylist/,appointments@austinpetstylist.com,(512) 200-4229,,Sole master groomer; site says text is best and bath appointments help maintain cuts between grooms,9,Email sent,2026-05-10,Follow up on 2026-05-13 or send IG DM if no reply,"Good fit: repeat baths, sole owner/operator, accepting a few new clients"
Luna's Pet Grooming,Austin,TX,US,https://www.lunaspetgrooming.com/,,https://www.lunaspetgrooming.com/,lunaspetgrooming@gmail.com,(512) 210-1042,,Website has service sections with placeholder-style copy and many before/after gallery images,8,Email sent,2026-05-10,Follow up on 2026-05-13,"Good fit: mobile/local service, visible email, repeat grooming"
Rainbow Paws Pet Salon,Austin,TX,US,https://www.rainbowpawspet.com/,,https://www.rainbowpawspet.com/,rainbowpawspetsalon@gmail.com,"Austin: (512) 531-9156; Round Rock: (512) 215-9745",,April 2026 update says new clients welcome and asks people to call/text,8,Email sent,2026-05-10,Follow up on 2026-05-13,"Good fit: active operations update, multiple locations, rebooking need"
SWAGG,Austin,TX,US,https://www.swaggatx.com/about,,https://www.instagram.com/swaggatx/,swaggatxgrooming@gmail.com,(512) 202-5920,,Founder-led mobile grooming with relationship-based positioning,8,Email sent,2026-05-10,Follow up on 2026-05-13 or send IG DM if no reply,"Good fit: established local brand, mobile grooming, owner story"
Groomingdale's of Austin,Austin,TX,US,https://www.groomingdalesofaustin.com/,,https://www.groomingdalesofaustin.com/,groomgoa@yahoo.com,"(512) 524-1484; (512) 524-1486",,Award-winning salon with testimonials and visible service menu,8,Email sent,2026-05-10,Follow up on 2026-05-13,"Good fit: established salon, reviews/testimonials, repeat customers"
Evergreen Hound,Austin,TX,US,https://www.evergreenhound.com/,,https://www.instagram.com/evergreenhound/,barkingevergreen@gmail.com,(512) 766-1712,52,Site says not accepting new clients currently but has strong add-on photography packages,6,IG account confirmed,,Use low-pressure DM only,"Lower priority: strong brand but may not need new lead follow-up now"
Lakeway Mobile Dog Grooming,Austin,TX,US,https://lakewaymobiledoggrooming.com/contact-us/,,,Contact@lakewaymobiledoggrooming.com,(512) 271-4479,,Mobile grooming contact page has direct email and phone,7,Not contacted,,Send first email,"Good fit: mobile grooming, direct contact"
Soco Pet Lounge,Austin,TX,US,https://www.socopetlounge.com/contact-us-map/,,https://instagram.com/SocoPetLounge_Atx,info@socopetlounge.com,(512) 416-7387,,Boarding/daycare plus grooming with office hours and direct email,7,IG account found from website,,Verify in Instagram then send DM or email,"Good fit: recurring daycare/boarding audience plus grooming"
Foxy Roxys,Austin,TX,US,https://foxyroxysatx.com/contact,,https://www.instagram.com/foxyroxysatx/,foxyroxysatx@gmail.com,(512) 487-2660,,Dog daycare boarding training and grooming; site has contact form,7,IG account confirmed,,Send DM or email,"Good fit: multiple repeat services, direct email"
LOBO,Austin,TX,US,https://www.lobo.pet/,,,,"",,High-end grooming/daycare/boarding brand; site has newsletter/contact flow,6,Not contacted,,Use contact form or social DM,"Good fit but contact email not visible in source snippet"
Austin Pup Culture,Austin,TX,US,https://www.austinpupculture.com/grooming,,https://www.instagram.com/austin_pup_culture/,austinpupculture@gmail.com,(512) 524-0057,,Grooming offered to daycare and boarding customers before pickup,7,IG account found from website,,Verify in Instagram then send DM or email,"Good fit: existing repeat daycare/boarding customers"
BarkSuds Austin,Austin,TX,US,https://austin.barksuds.com/,,,austin@barksuds.com,(512) 663-0685,,New local salon page with direct email and appointment CTA,7,Not contacted,,Send first email,"Good fit: direct local page, appointment-heavy business"
Park and Bark Mobile Grooming,Austin,TX,US,https://mobilepetgroomingaustin.com/,,,info@mobilepetgroomingaustin.com,(512) 269-2511,,Family-run mobile grooming service with text-first estimate process,8,Not contacted,,Send first email or text,"Good fit: owner-led mobile service and local rescue angle"
Fluffy Family Mobile Pet Grooming,Austin,TX,US,https://fluffy-family.com/contact.php,,,Fluffyfamily.grooming@gmail.com,"(737) 328-1541; (786) 560-0439",,Mobile grooming contact page with direct mail and long hours,7,Not contacted,,Send first email,"Good fit: mobile grooming, direct contact, many services"
Mobile Dog Grooming Austin,Austin,TX,US,https://mobilegroomingaustin.com/,,,mobilegroomingreferrals@gmail.com,(512) 501-2741,,Referral-oriented mobile grooming site mentions multiple-pet and referral rewards,7,Not contacted,,Send first email,"Good fit: referral/rebooking angle is natural"
